iter	Passed	Remaining
0	83	251672
1	99	149021
2	114	114024
3	129	96713
4	144	86730
5	159	79811
6	175	75114
7	190	71346
8	205	68264
9	221	66082
10	236	64197
11	251	62600
12	266	61268
13	281	60104
14	296	58964
15	311	58071
16	326	57306
17	343	56900
18	359	56435
19	374	55801
20	389	55201
21	404	54780
22	419	54311
23	434	53852
24	449	53514
25	465	53192
26	479	52831
27	495	52589
28	510	52335
29	525	51990
30	543	52005
31	557	51718
32	572	51478
33	588	51371
34	603	51113
35	618	50885
36	633	50754
37	648	50587
38	665	50502
39	681	50438
40	696	50269
41	711	50087
42	726	49945
43	741	49794
44	756	49661
45	771	49569
46	786	49420
47	800	49251
48	816	49165
49	831	49033
50	845	48902
51	861	48820
52	876	48739
53	890	48593
54	905	48502
55	920	48408
56	935	48325
57	951	48253
58	966	48159
59	980	48058
60	995	47985
61	1011	47915
62	1025	47825
63	1041	47794
64	1056	47709
65	1071	47622
66	1087	47595
67	1101	47477
68	1115	47382
69	1131	47340
70	1146	47280
71	1161	47220
72	1181	47366
73	1199	47436
74	1216	47461
75	1236	47573
76	1253	47600
77	1270	47579
78	1285	47532
79	1303	47564
80	1319	47562
81	1335	47538
82	1352	47547
83	1369	47533
84	1385	47503
85	1401	47501
86	1416	47423
87	1431	47354
88	1446	47311
89	1461	47249
90	1475	47182
91	1491	47154
92	1507	47108
93	1521	47038
94	1537	47009
95	1552	46964
96	1567	46913
97	1583	46880
98	1597	46810
99	1611	46739
100	1627	46722
101	1642	46674
102	1656	46604
103	1672	46566
104	1687	46534
105	1702	46473
106	1717	46427
107	1732	46384
108	1747	46350
109	1766	46419
110	1782	46403
111	1799	46407
112	1820	46502
113	1838	46543
114	1855	46537
115	1873	46574
116	1889	46563
117	1906	46560
118	1922	46549
119	1937	46503
120	1953	46473
121	1967	46423
122	1982	46373
123	1997	46336
124	2014	46333
125	2030	46306
126	2046	46297
127	2061	46250
128	2076	46211
129	2092	46188
130	2107	46148
131	2122	46113
132	2138	46106
133	2154	46078
134	2169	46033
135	2184	45995
136	2200	45977
137	2214	45929
138	2230	45902
139	2245	45868
140	2261	45861
141	2278	45865
142	2295	45854
143	2310	45821
144	2327	45818
145	2342	45796
146	2358	45775
147	2375	45772
148	2390	45745
149	2405	45699
150	2420	45674
151	2436	45659
152	2451	45624
153	2467	45608
154	2482	45567
155	2498	45556
156	2514	45537
157	2529	45502
158	2543	45444
159	2559	45424
160	2573	45387
161	2588	45343
162	2604	45324
163	2619	45292
164	2633	45248
